,Questions,Answers
156,How do you create text on a webpage that allows you to send an email when clicked,"To change the text into a clickable link to send an email, you need to use the mailto command within the href tag. You can write it in the following way:
<a href=”mailto:youremailaddress”>text to be clicked</a>"
157,How are active links different from normal links,"The default color for normal and active links is blue. Some browsers recognize an active link when the mouse cursor is placed over that link. Whereas, others recognize active links when the link has the focus. Those that don’t have a mouse cursor over that link is considered a normal link."
158,What are the different tags to separate sections of text,The <br> tag is one way to separate the lines of text. There are other tags like the <p> tag and <blockquote> tag that are also used to separate sections of text.
159,Are there instances where the text will appear outside of the browser,"By default, the text is wrapped to appear within the browser window. However, if the text is part of a table cell with a defined width, the text could extend beyond the browser window."
160,What is the advantage of grouping several checkboxes together,"The checkboxes don’t affect one another. But, grouping these checkboxes together help to organize them. Checkbox buttons can have their name and do not need to belong to a group. A single web page can have many different groups of checkboxes."
161,What happens if there is no text between the tags Does this affect the display of the HTML file,"If there is no text present between the tags, there is nothing to format. Therefore, no formatting will appear. Some tags, such as the tags without a closing tag like the <img> tag, do not require any text between them."
162,What are the limits of the text field size,"The default size for a text field is around 13 characters. However, if you include the size attribute, you can set the size value to be as low as 1. The maximum size value will be determined by the browser width. Also, if the size attribute is set to 0, the size will be set to the default size of 13 characters."
163,What is the relationship between the border and rule attributes,"Default cell borders, with a thickness of 1 pixel, are automatically added between cells if the border attribute is set to a nonzero value. Similarly, If the border attribute is not included, a default 1-pixel border appears when the rules attribute is added to the <table> tag."
164,What is SVG,"HTML SVG is used to describe the two-dimensional vector and vector or raster graphics. SVG images and their behaviors are defined in XML text files. So as XML files, you can create and edit an SVG image with the text editor. It is mostly used for vector type diagrams like pie charts, 2-Dimensional graphs in an X, Y coordinate system."
165,What is button tag,"The button tag is used in HTML 5. It is used to create a clickable button within the HTML form on the web page. This tag creates a “submit” or “reset” button. The button tag code is as follows:
<button name=""button"" type=""button"">Click Here</button>"
166,List the media types and formats supported by HTML.,"HTML supports a wide range of media formats for sound, music, videos, movies, and animations. Some of the extensions supported by each media format are:
Images– png, jpg, jpeg, gif, apng, svg, bmp, BMP ico, png ico
Audio– MIDI, RealAudio, WMA, AAC, WAV, Ogg, MP3, MP4
Video– MPEG, AVI, WMV, QuickTime, RealVideo, Flash, Ogg, WebM, MPEG-4 or MP4"
167,What is Cell Spacing and Cell Padding,"Cell Spacing is referred to as the space or gap between the two cells of the same table. Whereas, Cell Padding is referred to as the gap or space between the content of the cell and cell wall or cell border."
168,What is difference between HTML and XHTML,"The differences between HTML and XHTML are:
 HTML is an application of Standard Generalized Markup Language. Whereas, XML is an application of Extensible Markup Language.
The first one is a static Web Page whereas the later one is a dynamic Web Page.
HTML allows programmer to perform changes in the tags and use attribute minimization whereas XHTML when user need a new markup tag then user can define it
.html is about displaying information whereas XHTML is about describing the information."
169,How many types of CSS can be included in HTML,"There are three ways to include the CSS with HTML:
 Inline CSS: It is used for styling small contexts. To use inline styles add the style attribute in the relevant tag.
External Style Sheet: This is used when the style is applied to many pages. Each page must link to the style sheet using the <link> tag. The <link> tag goes inside the head section.
<head>
<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
</head>
Internal Style Sheet: It is used when a single document has a unique style. Internal styles sheet needs to put in the head section of an HTML page,"
170,What are logical and physical tags in HTML,"Logical tags are used to tell the meaning of the enclosed text. The example of the logical tag is <strong> </strong> tag. When we enclose the text in the strong tag, it tells the browser that enclosed text is more important than other texts.
Physical tags are used to tell the browser how to display the text enclosed in the physical tag. Some of the examples of physical tags are <b>, <big>, <i>."
171, How can you apply JavaScript to a web page,"In order to make your webpage more interactive, you need JavaScript. It is a scripting language that allows you to interact with certain elements on the page, based on user input. As with CSS, there are three main ways of including JavaScript"
172, Are the HTML tags and elements the same thing,"No. HTML elements are defined by a starting tag, may contain some content and a closing tag.For example, <h1>Heading 1</h1> is a HTML element but just <h1> is a starting tag and </h1> is a closing tag."
173, What are tags and attributes in HTML,"Tags are the primary component of the HTML that defines how the content will be structured/ formatted, whereas Attributes are used along with the HTML tags to define the characteristics of the element. For example, <p align=” center”>Interview questions</p>, in this the ‘align’ is the attribute using which we will align the paragraph to show in the center of the view."
174, What are void elements in HTML,"HTML elements which do not have closing tags or do not need to be closed are Void elements. For Example <br />, <img />, <hr />, etc."
175, What is the advantage of collapsing white space,"In HTML, a blank sequence of whitespace characters is treated as a single space character, Because the browser collapses multiple spaces into a single space character and this helps a developer to indent lines of text without worrying about multiple spaces and maintain readability and understandability of HTML codes."
176, What are HTML Entities,"In HTML some characters are reserved like ‘<’, ‘>’, ‘/’, etc. To use these characters in our webpage we need to use the character entities called HTML Entities. Below are a few mapping between the reserved character and its respective entity character to be used."
177, What are different types of lists in HTML,ordered lists and unordered lists
178, What is the ‘class’ attribute in HTML,"The class attribute is used to specify the class name for an HTML element. Multiple elements in HTML can have the same class value. Also, it is mainly used to associate the styles written in the stylesheet with the HTML elements."
179, What is the difference between the id attribute and the class  attribute of HTML elements,"Multiple elements in HTML can have the same class value, whereas a value of id attribute of one element cannot be associated with another HTML element."
180, Define multipart form data,Multipart form data is one of the values of the enctype attribute. It is used to send the file data to the server-side for processing. The other valid values of the enctype attribute are text/plain and application/x-www-form-urlencoded.
181,Describe HTML layout structure.,"Every web page has different components to display the intended content and a specific UI. But still, there are few things which are templated and are globally accepted way to structure the web page, such as: <header>: Stores the starting information about the web page.       
<footer>: Represents the last section of the page.
<nav>: The navigation menu of the HTML page.
<article>: It is a set of information.
<section>: It is used inside the article block to define the basic structure of a page.
<aside>: Sidebar content of the page "
182,How to optimize website assets loading,"To optimize website load time we need to optimize its asset loading and for that:CDN hosting - A CDN or content delivery network is geographically distributed servers to help reduce latency.
File compression - This is a method that helps to reduce the size of an asset to reduce the data transfer
File concatenation - This reduces the number of HTTP calls
Minify scripts - This reduces the overall file size of js and CSS files
Parallel downloads - Hosting assets in multiple subdomains can help to bypass the download limit of 6 assets per domain of all modern browsers. This can be configured but most general users never modify these settings.
Lazy Loading - Instead of loading all the assets at once, the non-critical assets can be loaded on a need basis"
183,What are the various formatting tags in HTML," HTML has various formatting tags:<b> - makes text bold
<i> - makes text italic
<em> - makes text italic but with added semantics importance
<big> - increases the font size of the text by one unit
<small> - decreases the font size of the text by one unit
<sub> - makes the text a subscript
<sup> - makes the text a superscript
<del> - displays as strike out text
<strong> - marks the text as important
<mark> - highlights the text
<ins> - displays as added text"
184,What are the different kinds of Doctypes available,"The three kinds of Doctypes which are available:Strict Doctype 
Transitional Doctype
Frameset Doctype"
185,Please explain how to indicate the character set being used by a document in HTML,The character set is defined in <meta> tag inside <head> element.
186,"What is the difference between <strong>, <b> tags and <em>, <i> tags","The effect on a normal webpage of the tags <strong>, <b>  and <em>, <i> is the same. <b> and <i> tags stands for bold and italic. These two tags only apply font styling and bold tag <b>, just adds more ink to the text, these tags don't say anything about the text."
187,What is the significance of <head> and <body> tag in HTML,"<head> tag provides the information about the document. It should always be enclosed in the <html> tag. This tag contains the metadata about the webpage and the tags which are enclosed by head tag like <link>, <meta>, <style>, <script>, etc. are not displayed on the web page. Also, there can be only 1 <head> tag in the entire Html document and will always be before the <body> tag."
188,Can we display a web page inside a web page or Is nesting of webpages possible,"Yes, we can display a web page inside another HTML web page. HTML provides a tag <iframe> using which we can achieve this functionality.<iframe src=�url of the web page to embed� />"
189,How is Cell Padding different from Cell Spacing,"Cell Spacing is the space or gap between two consecutive cells. Whereas, Cell Padding is the space or gap between the text/ content of the cell and the edge/ border of the cell. Please refer to the above figure example to find the difference."
190,How can we club two or more rows or columns into a single row or column in an HTML table,HTML provides two table attributes “rowspan” and “colspan” to make a cell span to multiple rows and columns respectively.
191, Is it possible to change an inline element into a block level element,"Yes, it is possible using the “display” property with its value as “block”, to change the inline element into a block-level element."
192,In how many ways can we position an HTML element? Or what are the permissible values of the position attribute,"static: Default value. Here the element is positioned according to the normal flow of the document.
absolute: Here the element is positioned relative to its parent element. The final position is determined by the values of left, right, top, bottom.
fixed: This is similar to absolute except here the elements are positioned relative to the <html> element.
relative: Here the element is positioned according to the normal flow of the document and positioned relative to its original/ normal position.
initial: This resets the property to its default value.
inherit: Here the element inherits or takes the property of its parent"
193,In how many ways you can display HTML elements,"inline: Using this we can display any block-level element as an inline element. The height and width attribute values of the element will not affect.
block: using this, we can display any inline element as a block-level element. 
inline-block: This property is similar to inline, except by using the display as inline-block, we can actually format the element using height and width values.
flex: It displays the container and element as a flexible structure. It follows flexbox property.
inline-flex: It displays the flex container as an inline element while its content follows the flexbox properties.
grid: It displays the HTML elements as a grid container.
none: Using this property we can hide the HTML element."
194,"What is the difference between �display: none� and �visibility: hidden�, when used as attributes to the HTML element","When we use the attribute �visibility: hidden� for an HTML element then that element will be hidden from the webpage but still takes up space. Whereas, if we use the �display: none� attribute for an HTML element then the element will be hidden, and also it won�t take up any space on the webpage"
195,How to specify the link in HTML and explain the target attribute,"HTML provides a hyperlink - <a> tag to specify the links in a webpage. The ‘href’ attribute is used to specify the link and the ‘target’ attribute is used to specify, where do we want to open the linked document. The ‘target’ attribute can have the following values:_self: This is a default value. It opens the document in the same window or tab as it was clicked.
_blank: It opens the document in a new window or tab.
_parent: It opens the document in a parent frame.
_top: It opens the document in a full-body window."
196,In how many ways can we specify the CSS styles for the HTML element,"There are three ways in which we can specify the styles for HTML elements:Inline: Here we use the �style� attribute inside the HTML element.
Internal: Here we use the <style> tag inside the <head> tag. To apply the style we bind the elements using �id� or �class� attributes.
External: Here we use the <link> tag inside <head> tag to reference the CSS file into our HTML code. Again the binding between elements and styles is done using �id� or �class� attributes."
197,Difference between link tag <link> and anchor tag <a>,"The anchor tag <a> is used to create a hyperlink to another webpage or to a certain part of the webpage and these links are clickable, whereas, link tag <link> defines a link between a document and an external resource and these are not clickable."
198,How to include javascript code in HTML,HTML provides a <script> tag using which we can run the javascript code and make our HTML page more dynamic.
199,When to use scripts in the head and when to use scripts in the body,If the scripts contain some event-triggered functions or jquery library then we should use them in the head section. If the script writes the content on the page or is not inside a function then it should be placed inside the body section at the bottom.
200,What are forms and how to create forms in HTML,"The HTML form is used to collect the user inputs. HTML provides a <form> tag to create forms. To take input from the user we use the <input> tag inside the form so that all collected user data can be sent to the server for processing. There are different input types like ‘button’, ‘checkbox’, ‘number’, ‘text’, ‘password’, ‘submit’ etc."
201,How to handle events in HTML,"HTML allows event trigger actions in browsers using javascript or JQuery. There are a lot of events like ‘onclick’, ‘ondrag’, ‘onchange’, etc."
202,What are some of the advantages of HTML5 over its previous versions,"Some advantages of HTML5 are:-It has Multimedia Support.
It has the capabilities to store offline data using SQL databases and application cache.
Javascript can be run in the background.
HTML5 also allows users to draw various shapes like rectangles, circles, triangles, etc.
Included new Semantic tags and form control tags."
203,How can we include audio or video in a webpage,HTML5 provides two tags: <audio> and <video> tags using which we can add the audio or video directly in the webpage.
204,Inline and block elements in HTML5,"Inline elements just take up the space that is absolutely necessary for the content and does not start from a new line.
Example:- <span>, <a>, <strong>, <img>, <button>, <em>, <select>, <abbr>, <label>, <sub>, <cite>, <abbr>, <script>, <label>, <i>, <input>, <output>, <q>, etc.Block elements start on a new line and consume the full width of the page available.
Example:- <div>, <p>, <header>, <footer>, <h1>...<h6>, <form>, <table>, <canvas>, <video>, <blockquote>, <pre>, <ul>, <ol>, <figcaption>, <figure>, <hr>, <article>, <section>, etc."
205,What is the difference between <figure> tag and <img> tag,"The <figure> tag specifies the self-contained content, like diagrams, images, code snippets, etc. <figure> tag is used to semantically organize the contents of an image like image, image caption, etc., whereas the <img> tag is used to embed the picture in the HTML5 document."
206,How to specify the metadata in HTML5,"To specify we can use <meta> tag which is a void tag,i.e., it does not have a closing tag. Some of the attributes used with meta tags are name, content, http-equiv, etc. The below image tells how to specify the metadata."
207,Is the <datalist> tag and <select> tag same,"No. The <datalist> tag and <select> tag are different. In the case of <select> tag a user will have to choose from a list of options, whereas <datalist> when used along with the <input> tag provides a suggestion that the user selects one of the options given or can enter some entirely different value."
208,Define Image Map,"Image Map lets a developer map/link different parts of images with the different web pages. It can be achieved by the <map> tag in HTML5, using which we can link images with clickable areas."
209,What are Semantic Elements,"Semantic elements are those which describe the particular meaning to the browser and the developer. Elements like <form>, <table>, <article>, <figure>, etc., are semantic elements."
